Indices
AMZ
HSGMNSTR
MOO.IV
AAT
ABR
ACC
ACRE
ADC
AFIN
AGNC
AHH
AHT
AJX
AKR
ALEX
ALX
AMH
AMT
ANH
APLE
APTS
ARE
ARI
ARR
AVB
BDN
BFS
BHR
BPYU
BRG
BRT
BRX
BXMT
BXP
CDOR
CDR
CHCT
CHMI
CIM
CIO
CLDT
CLI
CLNC
CLNY
CLPR
CMCT
CMO
COLD
CONE
COR
CORR
CPLG
CPT
CTRE
CTT
CUBE
CUZ
CXP
CXW
DEA
DEI
DHC
DLR
DOC
DRE
DRH
DX
EARN
EGP
ELS
EPR
EPRT
EQC
EQIX
EQR
ESRT
ESS
EXR
FCPT
FPI
FR
FRT
FSP
GEO
GLPI
GMRE
GNL
GOOD
GPMT
GTY
HASI
HCFT
HIW
HMG
HPP
HR
HT
HTA
IIPR
ILPT
INN
INVH
IOR
IRET
IRM
IRT
IVR
JBGS
KIM
KRC
KRG
LADR
LAMR
LAND
LOAN
LSI
LTC
LXP
MAA
MAC
MDRR
MFA
MGP
MITT
MNR
MPW
NHI
NLY
NNN
NRZ
NSA
NXRT
NYMT
O
OFC
OHI
OLP
OPI
ORC
OUT
PCH
PDM
PEAK
PEB
PEI
PGRE
PK
PLD
PLYM
PMT
PSA
PSB
PW
QTS
REG
RESI
REXR
RHE
RHP
RLJ
ROIC
RPAI
RPT
RWT
RYN
SACH
SBAC
SBRA
SELF
SHO
SKT
SLG
SNR
SOHO
SPG
SRC
SRG
STAG
STAR
STOR
STWD
SUI
SVC
TCO
TRNO
TRTX
TWO
UBA
UBP
UDR
UE
UHT
UMH
UNIT
VER
VICI
VNO
VTR
WELL
WHLR
WMC
WPC
WPG
WRE
WRI
WSR
WY
XAN
XHR
